municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 00:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 01:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 02:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 03:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 04:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 05:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 06:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 07:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 08:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 09:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 10:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 11:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 12:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 13:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 14:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 15:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 16:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 17:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 18:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 19:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 20:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 21:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 22:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-01 23:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 00:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 01:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 02:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 03:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 04:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 05:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 06:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 07:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 08:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 09:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 10:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 11:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 12:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 13:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 14:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 15:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 16:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 17:00:00.0;0.00
BALIZA;520310401A;GO;Setor Central;-16.196;-52.546;2015-07-02 18:00:00.0;0.00
